order_item_id,order_id,menu_item_id,quantity,item_price
1,1,9,1,5.25
2,2,8,1,5.25
3,2,12,1,4.75
4,3,6,1,6.5
5,3,2,1,6.0
6,4,12,1,4.75
7,5,5,1,5.5
8,5,14,1,5.75
9,5,2,1,6.0
10,6,10,1,5.5
11,6,12,1,4.75
12,7,1,1,5.5
13,8,20,1,7.5
14,8,14,1,5.75
15,9,4,1,6.25
16,10,5,1,5.5
17,10,2,1,6.0
18,10,13,1,6.0
19,11,20,1,7.5
20,11,12,1,4.75
21,11,18,1,6.5
22,12,7,2,5.5
23,12,13,2,6.75
24,12,10,1,5.5
25,13,6,1,5.75
26,13,20,1,7.5
27,14,9,1,5.25
28,15,1,1,5.5
29,16,19,1,7.0
30,17,18,1,7.25
31,17,16,1,6.0
32,18,12,2,4.75
33,19,16,1,6.0
34,19,10,1,5.5
35,20,17,1,6.5
36,21,15,1,6.25
37,22,6,1,5.75
38,23,2,1,6.0
39,23,5,1,5.5
40,24,1,2,5.5
41,25,12,1,4.75
42,26,18,1,6.5
43,26,12,1,4.75
44,27,17,1,6.5
45,27,19,1,7.0
46,28,12,1,4.75
47,29,13,1,6.0
48,29,14,1,5.75
49,30,17,1,6.5
50,31,10,1,5.5
51,31,8,1,5.25
52,31,11,1,5.0
53,31,16,1,6.0
54,32,14,1,5.75
55,33,18,1,6.5
56,33,3,1,5.75
57,33,2,1,6.5
58,34,1,1,5.5
59,34,9,1,5.25
60,35,20,1,7.5
61,35,1,1,5.5
62,36,11,1,5.0
63,37,15,2,6.25
64,38,2,1,6.0
65,39,19,2,7.0
66,40,17,1,7.0
67,40,14,1,5.75
68,40,11,1,5.75
69,41,7,1,5.5
70,42,2,1,6.0
71,42,7,1,5.5
72,43,18,1,6.5
73,43,20,1,7.5
74,44,13,1,6.0
75,44,10,1,6.25
76,44,18,1,6.5
77,45,12,1,4.75
78,45,7,1,5.5
79,45,15,1,6.25
80,45,2,1,6.0
81,46,20,1,8.0
82,47,18,1,6.5
83,48,3,1,5.75
84,48,5,1,5.5
85,49,19,1,7.0
86,50,14,2,5.75
87,50,20,2,7.5
88,50,3,1,5.75
89,51,2,1,6.0
90,51,6,2,5.75
91,52,15,1,6.25
92,53,8,1,5.25
93,53,3,1,5.75
94,54,17,1,7.0
95,55,18,2,6.5
96,56,8,1,5.25
97,56,16,1,6.0
98,56,9,1,5.25
99,57,9,1,5.25
100,58,8,1,5.75
101,59,16,1,6.0
102,60,14,1,5.75
103,61,14,1,5.75
104,62,19,1,7.0
105,62,7,1,5.5
106,63,18,1,6.5
107,63,16,1,6.0
108,64,13,1,6.0
109,64,19,1,7.0
110,65,18,1,7.0
111,66,19,1,7.5
112,67,10,1,5.5
113,68,10,1,5.5
114,68,20,1,7.5
115,68,19,2,7.75
116,68,9,1,5.25
117,69,7,1,5.5
118,70,16,1,6.0
119,71,17,2,6.5
120,72,1,1,5.5
121,72,6,1,5.75
122,72,5,1,5.5
123,73,6,1,5.75
124,74,18,1,6.5
125,74,1,1,5.5
126,75,18,1,6.5
127,75,6,1,5.75
128,76,17,1,6.5
129,76,8,1,5.25
130,77,16,1,6.0
131,78,5,1,6.0
132,78,19,2,7.0
133,79,18,1,6.5
134,79,17,1,6.5
135,79,20,1,7.5
136,79,9,1,5.25
137,80,17,1,6.5
138,80,8,1,5.25
139,80,12,1,4.75
140,80,2,1,6.0
141,81,4,1,6.25
142,82,19,1,7.0
143,83,15,1,6.25
144,84,8,1,5.25
145,85,17,1,6.5
146,86,3,1,5.75
147,86,19,2,7.0
148,87,15,1,6.25
149,87,17,1,6.5
150,87,9,1,5.25
151,88,20,1,7.5
152,88,16,1,6.0
153,89,5,1,5.5
154,90,20,1,7.5
155,90,1,1,5.5
156,91,4,1,6.25
157,91,18,1,6.5
158,92,14,1,5.75
159,93,7,2,5.5
160,93,18,1,6.5
161,93,11,2,5.0
162,93,17,1,7.0
163,94,19,1,7.0
164,94,18,1,6.5
165,94,13,2,6.0
166,95,4,2,6.25
167,96,18,1,6.5
168,97,3,1,5.75
169,98,10,1,5.5
170,98,6,1,5.75
171,98,1,1,5.5
172,99,5,2,5.5
173,100,11,1,5.0
